"Brand","Optus Model Name","Telstra Model Name","Model Info","Year","Chipset","TAC","Optus Status","Telstra Status","Vodafone Status"
"GOOGLE","GOOGLE PIXEL 9A","N/A","","2025","","35847073","Device is NOT Blocked","Not Found","Unknown"
"GOOGLE","GOOGLE PIXEL 9A","N/A","","2025","","35420226","Device is NOT Blocked","Not Found","Unknown"
"GOOGLE","GOOGLE PIXEL 9A","Google GTF7P","","2025","","35228226","Device is NOT Blocked","TAC Not blocked","Unknown"
"GOOGLE","GOOGLE PIXEL 9A","Google GXQ96","Pixel 9a USA","2025","","35626329","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"GOOGLE","GOOGLE PIXEL 9A","Google GXQ96","Pixel 9a USA","2025","","35595239","Device is NOT Blocked","TAC Not blocked","Unknown"
"GOOGLE","GOOGLE PIXEL 9A","Google GXQ96","Pixel 9a USA","2025","","35522787","Device is NOT Blocked","TAC Not blocked","Unknown"
"GOOGLE","GOOGLE PIXEL 9A","Google GXQ96","Pixel 9a USA","2025","","35503079","Device is NOT Blocked","TAC Not blocked","Unknown"
"GOOGLE","GOOGLE PIXEL 9A","Google GXQ96","Pixel 9a USA","2025","","35025514","Device is NOT Blocked","TAC Not blocked","Unknown"
"GOOGLE","GOOGLE PIXEL 9A","Google GTF7P","Pixel 9a","2025","","35413143","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"GOOGLE","GOOGLE PIXEL 9A","Google GTF7P","Pixel 9a","2025","","35989218","Device is NOT Blocked","TAC Not blocked","Unknown"
"GOOGLE","GOOGLE PIXEL 9A","Google G3Y12","Pixel 9a","2025","","35384851","Device is NOT Blocked","TAC Not blocked","Unknown"
"GOOGLE","GOOGLE PIXEL 9A","Google G3Y12","Pixel 9a","2025","","35759451","Device is NOT Blocked","TAC Not blocked","Unknown"
"GOOGLE","GOOGLE PIXEL 9A","Google G3Y12","Pixel 9a","2025","","35729994","Device is NOT Blocked","TAC Not blocked","Unknown"
"GOOGLE","GOOGLE PIXEL WATCH 3","Google GRY0E","Google GRY0E","2024","","35822919","Device is NOT Blocked","Not Phone","Unknown"
"GOOGLE","GOOGLE PIXEL WATCH 3","Google GRY0E","Google GRY0E","2024","","35696277","Device is NOT Blocked","Not Phone","Unknown"
"GOOGLE","GOOGLE PIXEL WATCH 3","Google GBDU9","Google GBDU9","2024","","35609266","Device is NOT Blocked","Not Phone","Unknown"
"GOOGLE","GOOGLE PIXEL WATCH 3","Google GBDU9","Google GBDU9","2024","","35571862","Device is NOT Blocked","Not Phone","Unknown"
"GOOGLE","GOOGLE PIXEL WATCH 3","Google GBDU9","Google GBDU9","2024","","35275388","Device is NOT Blocked","Not Phone","Unknown"
"GOOGLE","GOOGLE PIXEL WATCH 3","Google Pixel Watch 3 (45mm)","Google GRY0E","2024","","35242161","Device is NOT Blocked","Not Phone","Unknown"
"GOOGLE","GOOGLE PIXEL WATCH 3","Google Pixel Watch 3 (41mm)","Google GBDU9","2024","","35096016","Device is NOT Blocked","Not Phone","Unknown"
"GOOGLE","GOOGLE PIXEL WATCH 3","Google GRY0E","Google GRY0E","2024","","35058129","Device is NOT Blocked","Not Phone","Unknown"
"GOOGLE","GOOGLE PIXEL 9 PRO XL","Google GGX8B","","2024","","35244655","Device is NOT Blocked","TAC Not blocked","Unknown"
