"Brand","Optus Model Name","Telstra Model Name","Model Info","Year","Chipset","TAC","Optus Status","Telstra Status","Vodafone Status"
"HUAWEI","HUAWEI PURA X","Huawei Device Company VDE-AL00","","2025","","86402607","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI NOVA Y72S","N/A","","2025","QC SD 680","86164707","Device is NOT Blocked","Not Found","Unknown"
"HUAWEI","HUAWEI PURA 70 ULTRA 5G","Huawei Device Company HBP-AL00","","2024","","86120107","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 ULTRA 5G","Huawei Device Company HBP-AL00","","2024","","86291106","Device is Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 ULTRA 5G","Huawei Device Company HBP-AL00","","2024","","86367907","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 ULTRA 5G","Huawei Device Company HBP-AL00","","2024","","86438407","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 ULTRA 5G","Huawei Device Company HBP-AL00","","2024","","86605307","Device is Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 ULTRA 5G","Huawei Device Company HBP-AL00","","2024","","86680507","Device is Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 ULTRA 5G","Huawei Device Company HBP-AL00","","2024","","86910507","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 ULTRA","Huawei Device Company HBP-LX9","","2024","","86193007","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 PRO+","Huawei Device Company HBN-AL80","","2024","","86077607","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 PRO+","Huawei Device Company HBN-AL80","","2024","","86090507","Device is Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 PRO+","Huawei Device Company HBN-AL10","","2024","","86108407","Device is Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 PRO+","Huawei Device Company HBN-AL10","","2024","","86130907","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 PRO+","Huawei Device Company HBN-AL10","","2024","","86393907","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 PRO+","Huawei Device Company HBN-AL80","","2024","","86654607","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 PRO+","Huawei Device Company HBN-AL10","","2024","","86705507","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 PRO+","Huawei Device Company HBN-AL80","","2024","","86726107","Device is Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 PRO+","Huawei Device Company HBN-AL10","","2024","","86767407","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 PRO+","Huawei Device Company HBN-AL80","","2024","","86789407","Device is Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 PRO+","Huawei Device Company HBN-AL80","","2024","","86925507","Device is Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 PRO+","Huawei Device Company HBN-AL80","","2024","","86931407","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 PRO+","Huawei Device Company HBN-AL80","","2024","","86950207","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 PRO+","Huawei Device Company HBN-AL80","","2024","","86969307","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 PRO","Huawei Device Company HBN-AL00","","2024","","86180507","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 PRO","Huawei Device Company HBN-AL00","","2024","","86187007","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 PRO","Huawei Device Company HBN-AL00","","2024","","86590207","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 PRO","Huawei Device Company HBN-AL00","","2024","","86727807","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 PRO","Huawei Device Company HBN-LX9","","2024","","86840207","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 PRO","Huawei Device Company HBN-LX9","","2024","","86913507","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 PRO","Huawei Device Company HBN-AL00","","2024","","86913907","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 PRO","Huawei Device Company HBN-AL00","","2024","","86950107","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70 PRO","Huawei Device Company HBN-AL00","","2024","","86383207","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI PURA 70","Huawei Device Company ADY-AL00","","2024","","86098807","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70","Huawei Device Company ADY-AL00","","2024","","86131006","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70","Huawei Device Company ADY-AL00","","2024","","86140007","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70","Huawei Device Company ADY-AL00","","2024","","86198407","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70","Huawei Device Company ADY-AL00","","2024","","86222407","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70","Huawei Device Company ADY-AL00","","2024","","86223307","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI PURA 70","Huawei Device Company ADY-AL10","","2024","","86313907","Device is Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70","Huawei Device Company ADY-AL10","","2024","","86344607","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70","Huawei Device Company ADY-AL00","","2024","","86514407","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70","Huawei Device Company ADY-AL10","","2024","","86537407","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70","Huawei Device Company ADY-LX9","","2024","","86661307","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70","Huawei Device Company ADY-AL00","","2024","","86836207","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70","Huawei Device Company ADY-AL00","","2024","","86840907","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70","Huawei Device Company ADY-AL00","","2024","","86853806","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70","Huawei Device Company ADY-AL00","","2024","","86952007","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI PURA 70","Huawei Device Company ADY-AL00","","2024","","86197107","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI PURA 70","Huawei Device Company ADY-AL00","","2024","","86231507","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI PURA 70","Huawei Device Company ADY-AL10","","2024","","86563307","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI PURA 70","Huawei Device Company ADY-LX9","","2024","","86847807","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI PLR-AL50","Huawei Device Company PLR-AL50","","2024","","86228807","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI PLR-AL50","N/A","","2024","","86319107","Device is NOT Blocked","Not Found","Unknown"
"HUAWEI","HUAWEI PLR-AL50","Huawei Device Company PLR-AL50","","2024","","86779307","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI PLR-AL50","N/A","","2024","","86875107","Device is NOT Blocked","Not Found","Unknown"
"HUAWEI","HUAWEI PLR-AL50","Huawei Device Company PLR-AL50","","2024","","86931007","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI NOVA 13 PRO","Huawei Device Company MIS-AL00","","2024","","86009107","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI NOVA 12 ULTRA","Huawei Device Company ADA-AL00U","","2024","","86054506","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI NOVA 12 ULTRA","Huawei Device Company ADA-AL00U","","2024","","86056307","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI NOVA 12 ULTRA","Huawei Device Company ADA-AL00U","","2024","","86185207","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI NOVA 12 ULTRA","Huawei Device Company ADA-AL00U","","2024","","86527207","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI NOVA 12 ULTRA","Huawei Device Company ADA-AL00U","","2024","","86733507","Device is Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI NOVA 12 ULTRA","Huawei Device Company ADA-AL00U","","2024","","86952006","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI NOVA 12 PRO","Huawei Device Company ADA-AL00","","2024","","86103106","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI NOVA 12 PRO","Huawei Device Company ADA-AL00","","2024","","86220407","Device is Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI NOVA 12 PRO","Huawei Device Company ADA-AL00","","2024","","86582907","Device is Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI NOVA 12 PRO","Huawei Device Company ADA-AL00","","2024","","86630007","Device is Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI NOVA 12 PRO","Huawei Device Company ADA-AL00","","2024","","86696207","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI NOVA 12 PRO","Huawei Device Company ADA-AL00","","2024","","86940807","Device is Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI NOVA 12 PRO","Huawei Device Company ADA-AL00","","2024","","86949107","Device is Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE X6","Huawei Device Company ICL-AL20","","2024","","86231907","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI MATE X6","N/A","","2024","","86324307","Device is NOT Blocked","Not Found","Unknown"
"HUAWEI","HUAWEI MATE X6","Huawei Device Company ICL-AL20","","2024","","86755907","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI MATE 70 PRO","Huawei Device Company PLR-AL00","","2024","","86584907","Device is NOT Blocked","TAC Not blocked","Unknown"
"HONOR","HONOR X50 GT","HONOR ALP-AN00","","2024","","86190107","Device is Blocked","Not Blocked","Unknown"
"HONOR","HONOR X50 GT","HONOR ALP-AN00","","2024","","86202507","Reduced Coverage","TAC Not blocked","Unknown"
"HONOR","HONOR X50 GT","HONOR ALP-AN00","","2024","","86327207","Device is Blocked","Blocked","Unknown"
"HONOR","HONOR X50 GT","HONOR ALP-AN00","","2024","","86995206","Device is Blocked","Not Blocked","Unknown"
"HONOR","HONOR 200 SMART","HONOR ALT-NX1","","2024","QC SD 4 Gen 2","86119707","Device is NOT Blocked","TAC Not blocked","Unknown"
"HONOR","HONOR 200 SMART","HONOR ALT-NX1","","2024","QC SD 4 Gen 2","86464707","Device is NOT Blocked","TAC Not blocked","Unknown"
"HONOR","HONOR 200 SMART","HONOR ALT-NX1","","2024","QC SD 4 Gen 2","86842607","Device is NOT Blocked","TAC Not blocked","Unknown"
"HONOR","HONOR 200 PRO","HONOR ELP-NX9","","2024","QC SD 8s Gen 3","86420207","Device is NOT Blocked","Not Blocked","Unknown"
"HONOR","HONOR 200 PRO","HONOR ELP-NX9","","2024","QC SD 8s Gen 3","86906907","Device is NOT Blocked","TAC Not blocked","Unknown"
"HONOR","HONOR 200 LITE","HONOR LLY-NX1","","2024","MT D 6080","86170007","Device is NOT Blocked","TAC Not blocked","Unknown"
"HONOR","HONOR 200 LITE","HONOR LLY-NX3","","2024","MT D 6080","86461606","Device is NOT Blocked","TAC Not blocked","Unknown"
"HONOR","HONOR 200 LITE","HONOR LLY-NX3","","2024","MT D 6080","86619906","Device is NOT Blocked","TAC Not blocked","Unknown"
"HONOR","HONOR 200 LITE","HONOR LLY-NX1","","2024","MT D 6080","86771507","Device is NOT Blocked","Not Blocked","Unknown"
"HONOR","HONOR 200 LITE","HONOR LLY-NX1","","2024","MT D 6080","86890306","Device is NOT Blocked","Not Blocked","Unknown"
"HONOR","HONOR 200","HONOR ELI-AN00","","2024","QC SD 7 Gen 3","86027907","Device is NOT Blocked","Not Blocked","Unknown"
"HONOR","HONOR 200","HONOR ELI-NX9","","2024","QC SD 7 Gen 3","86088407","Device is NOT Blocked","TAC Not blocked","Unknown"
"HONOR","HONOR 200","HONOR ELI-AN00","","2024","QC SD 7 Gen 3","86152207","Device is NOT Blocked","TAC Not blocked","Unknown"
"HONOR","HONOR 200","HONOR ELI-AN00","","2024","QC SD 7 Gen 3","86166007","Device is NOT Blocked","Not Blocked","Unknown"
"HONOR","HONOR 200","HONOR ELI-AN00","","2024","QC SD 7 Gen 3","86429507","Device is NOT Blocked","Not Blocked","Unknown"
"HONOR","HONOR 200","HONOR ELI-AN00","","2024","QC SD 7 Gen 3","86503107","Device is NOT Blocked","TAC Not blocked","Unknown"
"HONOR","HONOR 200","HONOR ELI-AN00","","2024","QC SD 7 Gen 3","86677007","Device is NOT Blocked","Not Blocked","Unknown"
"HONOR","HONOR 200","HONOR ELI-AN00","","2024","QC SD 7 Gen 3","86792707","Device is Blocked","TAC Not blocked","Unknown"
"HONOR","HONOR 200","HONOR ELI-NX9","","2024","QC SD 7 Gen 3","86842007","Device is NOT Blocked","Not Blocked","Unknown"
"HONOR","HONOR 200","HONOR ELI-AN00","","2024","QC SD 7 Gen 3","86858407","Device is NOT Blocked","Not Blocked","Unknown"
"HONOR","HONOR 200","HONOR ELI-NX9","","2024","QC SD 7 Gen 3","86897607","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI P60 PRO","Huawei Device Company MNA-LX9","","2023","","86560706","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI P60 PRO","Huawei Device Company MNA-LX9","","2023","","86923906","Device is Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI P60 PRO","Huawei Device Company MNA-AL00M","","2023","","86974906","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI P60 ART PRO","Huawei Device Company MNA-AL00","","2023","","86240006","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI P60 ART PRO","Huawei Device Company MNA-AL00","","2023","","86312106","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI P60 ART PRO","Huawei Device Company MNA-AL00","","2023","","86364306","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI P60 ART PRO","Huawei Device Company MNA-AL00","","2023","","86939806","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI P60","Huawei Device Company LNA-AL00","","2023","","86070506","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI P60","Huawei Device Company LNA-AL00","","2023","","86119306","Device is NOT Blocked","Blocked","Unknown"
"HUAWEI","HUAWEI P60","Huawei Device Company LNA-LX9","","2023","","86823306","Device is Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI P60","Huawei Device Company LNA-AL00","","2023","","86860606","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI P60","Huawei Device Company LNA-AL00","","2023","","86885006","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI P60","Huawei Device Company LNA-AL00","","2023","","86916706","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI MATE 60 PRO+","Huawei Device Company ALN-AL10","","2023","","86127207","Device is Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO+","Huawei Device Company ALN-AL10","","2023","","86133207","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI MATE 60 PRO+","Huawei Device Company ALN-AL10","","2023","","86261907","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO+","Huawei Device Company ALN-AL10","","2023","","86486207","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI MATE 60 PRO+","Huawei Device Company ALN-AL10","","2023","","86509107","Device is Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO+","Huawei Device Company ALN-AL10","","2023","","86565007","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI MATE 60 PRO+","Huawei Device Company ALN-AL10","","2023","","86589307","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO+","Huawei Device Company ALN-AL20","","2023","","86622406","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO+","Huawei Device Company ALN-AL10","","2023","","86629306","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI MATE 60 PRO+","Huawei Device Company ALN-AL10","","2023","","86630507","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI MATE 60 PRO+","Huawei Device Company ALN-AL10","","2023","","86655607","Device is Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO+","Huawei Device Company ALN-AL10","","2023","","86670706","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI MATE 60 PRO+","Huawei Device Company ALN-AL10","","2023","","86702107","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO+","Huawei Device Company ALN-AL10","","2023","","86872507","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI MATE 60 PRO+","Huawei Device Company ALN-AL10","","2023","","86886507","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO+","Huawei Device Company ALN-AL10","","2023","","86917507","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL80","","2023","","86005107","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86057907","Device is Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86086306","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL80","","2023","","86090407","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86092607","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL80","","2023","","86106307","Device is Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86148907","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86166107","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86205907","Device is Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86209407","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL80","","2023","","86232907","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86242806","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL80","","2023","","86269707","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL80","","2023","","86336407","Device is Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL80","","2023","","86349107","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86365106","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL80","","2023","","86385407","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL80","","2023","","86394306","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86394607","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86398207","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL80","","2023","","86422907","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86423407","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL80","","2023","","86431307","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86451807","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86458207","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL80","","2023","","86476807","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86556507","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL80","","2023","","86599006","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86616007","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL80","","2023","","86651607","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86656407","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86686307","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86693307","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86695407","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86724607","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86736007","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86752507","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86773707","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL80","","2023","","86782806","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86818907","Device is NOT Blocked","TAC Not blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86829707","Device is Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86853107","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86858607","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86886007","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86900306","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86901707","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL80","","2023","","86929307","Device is NOT Blocked","Not Blocked","Unknown"
"HUAWEI","HUAWEI MATE 60 PRO","Huawei Device Company ALN-AL00","","2023","","86933907","Device is NOT Blocked","TAC Not blocked","Unknown"
