"Brand","Optus Model Name","Telstra Model Name","Model Info","Year","Chipset","TAC","Optus Status","Telstra Status","Vodafone Status"
"LG","LG W41 PRO","LG LM-K610IM","","2021","MT H G35","35739522","Device is Blocked","B28 Limited","Unknown"
"LG","VERIZON V60 THINQ 5G","LG LM-V600VMW","","2020","QC SD 865 5G","35547611","Device is NOT Blocked","TAC Not blocked","Unknown"
"LG","VERIZON STYLO 6","LG LM-Q730VM","","2020","MT H P35","35545011","Device is Blocked","TAC Not blocked","Unknown"
"LG","SPECTRUM STYLO 6","LG LM-Q730QM6","","2020","MT H P35","35567011","Device is Blocked","TAC Not blocked","Unknown"
"LG","SPECTRUM K51","LG LM-K500QM6","","2020","MT H P22","35540411","Device is Blocked","Not Blocked","Unknown"
"LG","METROPCS K51","LG LM-K500MM","","2020","MT H P22","35454411","Device is NOT Blocked","TAC Not blocked","Unknown"
"LG","METROPCS K51","LG LM-K500MM","","2020","MT H P22","35597055","Device is NOT Blocked","TAC Not blocked","Unknown"
"LG","METROPCS K51","LG LM-K500MM","","2020","MT H P22","35504161","Device is Blocked","B28 Limited","Unknown"
"LG","METROPCS K51","LG LM-K500MM","","2020","MT H P22","35241143","Device is Blocked","Not Blocked","Unknown"
"LG","LG WING 5G","LG LM-F100TM","","2020","QC SD 765G","35786893","Device is Blocked","Blocked","Unknown"
"LG","LG WING 5G","LG LM-F100N","","2020","QC SD 765G","35164892","Device is Blocked","Blocked","Unknown"
"LG","LG WING 5G","LG LM-F100EM","","2020","QC SD 765G","35137486","Device is Blocked","TAC Not blocked","Unknown"
"LG","LG WING 5G","LG LM-F100N","","2020","QC SD 765G","35078760","Device is Blocked","TAC Not blocked","Unknown"
"LG","LG WING","LG LM-F100VM","","2020","QC SD 765G","35477216","Device is Blocked","Blocked","Unknown"
"LG","LG WING","LG LM-F100VM","","2020","QC SD 765G","35782719","Device is Blocked","Blocked","Unknown"
"LG","LG WING","LG LM-F100TM","","2020","QC SD 765G","35233275","Device is Blocked","Blocked","Unknown"
"LG","LG WING","LG LM-F100EMW","","2020","QC SD 765G","35171670","Device is Blocked","Blocked","Unknown"
"LG","LG W31","LG LM-K315IM","","2020","MT H P22","35593347","Device is Blocked","TAC Not blocked","Unknown"
"LG","LG W11","LG LM-K310IM","Cancelled","2020","MT H P22","35571852","Device is Blocked","TAC Not blocked","Unknown"
"LG","LG VELVET 5G UW","LG LM-G900VM","","2020","","35604011","Device is Blocked","Blocked","Unknown"
"LG","LG VELVET 5G","LG LM-G900QM","","2020","","35710130","Device is NOT Blocked","TAC Not blocked","Unknown"
"LG","LG VELVET 5G","LG LM-G900TM","","2020","","35686219","Device is Blocked","Blocked","Unknown"
"LG","LG VELVET 5G","LG LM-G900FMW","","2020","","35621411","Device is NOT Blocked","TAC Not blocked","Unknown"
"LG","LG VELVET 5G","LG LM-G900TM","","2020","","35615888","Device is Blocked","Blocked","Unknown"
"LG","LG VELVET 4G","LG LM-G910EM","","2020","","35582911","Device is NOT Blocked","TAC Not blocked","Unknown"
"LG","LG VELVET","LG LM-G910N","","2020","","35960583","Device is Blocked","Not Blocked","Unknown"
"LG","LG VELVET","LG LM-G900EMW","","2020","","35701878","Device is Blocked","Not Blocked","Unknown"
"LG","LG VELVET","LG LM-G900UM","","2020","","35621511","Device is Blocked","Blocked","Unknown"
"LG","LG VELVET","LG LM-G900UM","","2020","","35588211","Device is NOT Blocked","TAC Not blocked","Unknown"
"LG","LG VELVET","LG L-52A","","2020","","35583711","Device is Blocked","Blocked","Unknown"
"LG","LG VELVET","LG LM-G910HM","","2020","","35583111","Device is Blocked","TAC Not blocked","Unknown"
"LG","LG VELVET","LG LM-G910HMW","","2020","","35583011","Device is Blocked","TAC Not blocked","Unknown"
"LG","LG VELVET","LG LM-G910EMW","","2020","","35582811","Device is Blocked","Blocked","Unknown"
"LG","LG VELVET","LG LM-G900UM","","2020","","35580511","Device is NOT Blocked","TAC Not blocked","Unknown"
"LG","LG VELVET","LG LM-G900UM","","2020","","35580411","Device is NOT Blocked","TAC Not blocked","Unknown"
"LG","LG VELVET","LG LM-G900UM","","2020","","35558811","Device is Blocked","Blocked","Unknown"
"LG","LG VELVET","LG LM-G900N","","2020","","35548111","Device is Blocked","Blocked","Unknown"
"LG","LG VELVET","LG LM-G900EM","","2020","","35540611","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"LG","LG VELVET","LG LM-G900N","","2020","","35540511","Device is Blocked","Blocked","Unknown"
"LG","LG V60 THINQ 5G","LG LM-V600AM","","2020","QC SD 865 5G","35478311","Device is Blocked","Blocked","Unknown"
"LG","LG V60 THINQ 5G","LG A001LG","","2020","QC SD 865 5G","35356511","Device is Blocked","TAC Not blocked","Unknown"
"LG","LG V60 THINQ 5G","LG LM-V600TM","","2020","QC SD 865 5G","35565711","Device is Blocked","Blocked","Unknown"
"LG","LG V60 THINQ 5G","LG LM-V600TM","","2020","QC SD 865 5G","35548611","Device is Blocked","Blocked","Unknown"
"LG","LG V60 THINQ 5G","LG LM-V600VM","","2020","QC SD 865 5G","35548511","Device is Blocked","Blocked","Unknown"
"LG","LG V60 THINQ 5G","LG LM-V600EA","","2020","QC SD 865 5G","35331911","Device is Blocked","Not Blocked","Unknown"
"LG","LG V60 THINQ 5G","LG LM-V600VM","","2020","QC SD 865 5G","35327111","Device is Blocked","Blocked","Unknown"
"LG","LG V60 THINQ 5G","LG LM-V600VM","","2020","QC SD 865 5G","35327011","Device is NOT Blocked","TAC Not blocked","Unknown"
"LG","LG V60 THINQ 5G","LG LM-V600TM","","2020","QC SD 865 5G","35257911","Device is NOT Blocked","TAC Not blocked","Unknown"
"LG","LG V60 THINQ 5G","LG LM-V600TM","","2020","QC SD 865 5G","35257811","Device is Blocked","Blocked","Unknown"
"LG","LG V60 THINQ 5G","LG LM-V600TM","","2020","QC SD 865 5G","35257711","Device is Blocked","Blocked","Unknown"
"LG","LG V60 THINQ 5G","LG LM-V600TM","","2020","QC SD 865 5G","35257611","Device is Blocked","Blocked","Unknown"
"LG","LG V60 THINQ","LG LM-V600GA","","2020","QC SD 865 5G","35356811","Device is Blocked","TAC Not blocked","Unknown"
"LG","LG V60 THINQ","LG LM-V600N","","2020","QC SD 865 5G","35237411","Device is NOT Blocked","TAC Not blocked","Unknown"
"LG","LG V60 THINQ","LG LM-V600N","","2020","QC SD 865 5G","35195211","Device is Blocked","TAC Not blocked","Unknown"
"LG","LG STYLO 6","LG LM-Q730MM","","2020","MT H P35","35938982","Device is NOT Blocked","TAC Not blocked","Unknown"
"LG","LG STYLO 6","LG LM-Q730TM","","2020","MT H P35","35936041","Device is Blocked","TAC Not blocked","Unknown"
"LG","LG STYLO 6","LG LM-Q730MM","","2020","MT H P35","35905451","Device is NOT Blocked","TAC Not blocked","Unknown"
"LG","LG STYLO 6","LG LM-Q730TM","","2020","MT H P35","35459011","Device is NOT Blocked","Not Blocked","Unknown"
"LG","LG STYLO 6","LG LM-Q730TM","","2020","MT H P35","35452711","Device is Blocked","Not Blocked","Unknown"
"LG","LG STYLO 6","LG LM-Q730TM","","2020","MT H P35","35452611","Device is Blocked","TAC Not blocked","Unknown"
"LG","LG STYLO 6","LG LM-Q730MM","","2020","MT H P35","35452511","Device is Blocked","Blocked","Unknown"
"LG","LG STYLO 6","LG LM-Q730MM","","2020","MT H P35","35388980","Device is Blocked","TAC Not blocked","Unknown"
"LG","LG STYLO 6","LG LM-Q730TM","","2020","MT H P35","35810471","Device is NOT Blocked","TAC Not blocked","Unknown"
"LG","LG STYLO 6","LG LM-Q730QN","","2020","MT H P35","35635111","Device is NOT Blocked","TAC Not blocked","Unknown"
"LG","LG STYLO 6","LG LM-Q730QM","","2020","MT H P35","35558711","Device is NOT Blocked","Blocked","Unknown"
"LG","LG STYLO 6","LG LM-Q730QM","","2020","MT H P35","35495292","Device is NOT Blocked","TAC Not blocked","Unknown"
"LG","LG STYLO 6","LG LM-Q730MM","","2020","MT H P35","35276972","Device is Blocked","TAC Not blocked","Unknown"
"LG","LG STYLO 6","LG LM-Q730TM","","2020","MT H P35","35137117","Device is NOT Blocked","TAC Not blocked","Unknown"
"LG","LG Q92 5G","LG LM-Q920N","","2020","QC SD 765G","35407180","Device is Blocked","Blocked","Unknown"
"LG","LG Q92 5G","LG LM-Q920N","","2020","QC SD 765G","35245455","Device is Blocked","TAC Not blocked","Unknown"
