"Brand","Optus Model Name","Telstra Model Name","Model Info","Year","Chipset","TAC","Optus Status","Telstra Status","Vodafone Status"
"MOTOROLA","MOTOROLA MOTO G POWER - 2025","N/A","","2025","","35388375","Device is NOT Blocked","Not Found","Unknown"
"MOTOROLA","MOTOROLA MOTO G POWER - 2025","N/A","","2025","","35350217","Device is NOT Blocked","Not Found","Unknown"
"MOTOROLA","MOTOROLA MOTO G POWER (2025)","N/A","","2025","","35898716","Device is NOT Blocked","Not Found","Unknown"
"MOTOROLA","MOTOROLA MOTO G POWER (2025)","N/A","","2025","","35685937","Device is NOT Blocked","Not Found","Unknown"
"MOTOROLA","MOTOROLA RAZR 50 ULTRA","Motorola XT2451-3","","2024","","35860477","Device is Blocked","Not Blocked","Unknown"
"MOTOROLA","MOTOROLA RAZR 50 ULTRA","Motorola XT2451-3","","2024","","35395387","Device is NOT Blocked","TAC Not blocked","Unknown"
"MOTOROLA","MOTOROLA RAZR 50 ULTRA","Motorola XT2451-4","","2024","","35668941","Device is NOT Blocked","Not Blocked","Unknown"
"MOTOROLA","MOTOROLA RAZR 50 ULTRA","Motorola XT2451-3","","2024","","35547345","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"MOTOROLA","MOTOROLA RAZR 50 ULTRA","Motorola XT2451-3","","2024","","35536786","Device is NOT Blocked","TAC Not blocked","Unknown"
"MOTOROLA","MOTOROLA RAZR 50 ULTRA","Motorola XT2451-3","","2024","","35008884","Device is NOT Blocked","TAC Not blocked","Unknown"
"MOTOROLA","MOTOROLA RAZR 50","Motorola XT2453-1","","2024","","35847673","Device is NOT Blocked","TAC Not blocked","Unknown"
"MOTOROLA","MOTOROLA RAZR 50","Motorola XT2453-1","","2024","","35437347","Device is NOT Blocked","Not Blocked","Unknown"
"MOTOROLA","MOTOROLA RAZR 50","Motorola XT2453-1","","2024","","35699443","Device is NOT Blocked","TAC Not blocked","Unknown"
"MOTOROLA","MOTOROLA MOTO S50","Motorola XT2409-5","","2024","","35629161","Device is Blocked","TAC Not blocked","Unknown"
