"Brand","Optus Model Name","Telstra Model Name","Model Info","Year","Chipset","TAC","Optus Status","Telstra Status","Vodafone Status"
"HMD","HMD TA-1709","HMD Global TA-1709","HMD 150 Music (2G Only)","2025","","35969491","Device is NOT Blocked","Not Phone","Unknown"
"HMD","HMD KEY","HMD Global TA-1690","","2025","","35068668","Device is NOT Blocked","TAC Not blocked","Unknown"
"HMD","HMD ARC","N/A","","2025","","35608859","Device is NOT Blocked","Not Found","Unknown"
"HMD","HMD ARC","HMD Global TA-1697","","2025","","35486935","Device is NOT Blocked","TAC Not blocked","Unknown"
"HMD","HMD ARC","HMD Global TA-1697","","2025","","35921253","Device is NOT Blocked","TAC Not blocked","Unknown"
"HMD","HMD ARC","HMD Global TA-1697","","2025","","35179180","Device is NOT Blocked","TAC Not blocked","Unknown"
"HMD","HMD ARC","HMD Global TA-1682","","2025","","35837923","Device is NOT Blocked","TAC Not blocked","Unknown"
"NOKIA","NOKIA 225 4G (2024)","HMD Global TA-1625","","2024","","35799354","Device is NOT Blocked","TAC Not blocked","Unknown"
"NOKIA","NOKIA 225 4G (2024)","HMD Global TA-1610","","2024","","35316830","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"NOKIA","NOKIA 220 4G (2024)","HMD Global TA-1611","","2024","","35007708","Reduced Coverage","TAC Not blocked","Unknown"
"NOKIA","NOKIA 215 4G (2024)","HMD Global TA-1617","","2024","","35614735","Device is Blocked","Not Blocked","Unknown"
"NOKIA","NOKIA 215 4G (2024)","Nokia 215 4G","","2024","","35522446","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"NOKIA","NOKIA 215 4G (2024)","HMD Global TA-1621","","2024","","35232418","Device is NOT Blocked","TAC Not blocked","Unknown"
"NOKIA","NOKIA 215 4G (2024)","HMD Global TA-1617","","2024","","35154645","Reduced Coverage","Not Blocked","Unknown"
"HMD","HMD VIBE","HMD Global N159V","","2024","","35340723","Device is NOT Blocked","TAC Not blocked","Unknown"
"HMD","HMD VIBE","HMD Global TA-1590","","2024","","35669841","Device is NOT Blocked","TAC Not blocked","Unknown"
"HMD","HMD TA-1740","HMD Global TA-1740","HMD Vibe","2024","QC SD 680 4G","35738125","Device is NOT Blocked","TAC Not blocked","Unknown"
"HMD","HMD TA-1672","N/A","HMD Fusion X1","2024","QC SD 4 Gen 2","35341019","Device is NOT Blocked","Not Found","Unknown"
"HMD","HMD TA-1672","N/A","HMD Fusion X1","2024","QC SD 4 Gen 2","35210251","Device is NOT Blocked","Not Found","Unknown"
"HMD","HMD TA-1642","HMD Global TA-1642","HMD Crest","2024","","35950485","Device is NOT Blocked","Not Blocked","Unknown"
"HMD","HMD TA-1639","N/A","HMD 110 (2024)","2024","","35255929","Device is NOT Blocked","Not Found","Unknown"
"HMD","HMD TA-1604","N/A","HMD Pulse DS","2024","","35454964","Device is NOT Blocked","Not Found","Unknown"
"HMD","HMD T21","HMD Global TA-1599","","2024","","35559717","Device is NOT Blocked","Not Phone","Unknown"
"HMD","HMD T21","HMD Global TA-1596","","2024","","35236614","Device is NOT Blocked","Not Phone","Unknown"
"HMD","HMD SKYLINE","HMD Global TA-1600","","2024","","35587637","Device is NOT Blocked","Not Blocked","Unknown"
"HMD","HMD PULSE+","HMD Global TA-1602","","2024","","35936443","Device is NOT Blocked","Not Blocked","Unknown"
"HMD","HMD PULSE+","HMD Global TA-1602","","2024","","35771454","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HMD","HMD PULSE+","HMD Global TA-1605","","2024","","35767995","Device is NOT Blocked","TAC Not blocked","Unknown"
"HMD","HMD PULSE PRO","HMD Global TA-1606","","2024","","35250372","Device is NOT Blocked","TAC Not blocked","Unknown"
"HMD","HMD PULSE PRO","HMD Global TA-1588","","2024","","35468269","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HMD","HMD PULSE PRO","HMD Global TA-1595","","2024","","35783388","Device is NOT Blocked","TAC Not blocked","Unknown"
"HMD","HMD PULSE PRO","HMD Global TA-1595","","2024","","35604312","Device is NOT Blocked","Not Blocked","Unknown"
"HMD","HMD PULSE","HMD Global TA-1589","","2024","","35294891","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"HMD","HMD PULSE","HMD Global TA-1594","","2024","","35272236","Device is NOT Blocked","TAC Not blocked","Unknown"
"HMD","HMD FUSION","HMD Global TA-1648","","2024","","35110787","Device is NOT Blocked","TAC Not blocked","Unknown"
