"Brand","Optus Model Name","Telstra Model Name","Model Info","Year","Chipset","TAC","Optus Status","Telstra Status","Vodafone Status"
"NOTHING","NOTHING A024","NOTHING Technology A024","Nothing Phone 3","2025","QC SD 8s Gen 4","35750244","Device is NOT Blocked","TAC Not blocked","Unknown"
"NOTHING","NOTHING A024","NOTHING Technology A024","Nothing Phone 3","2025","QC SD 8s Gen 4","35036745","Device is NOT Blocked","TAC Not blocked","Unknown"
"NOTHING","NOTHING (3A) PRO","NOTHING Technology A059P","Nothing Phone (3a) Pro","2025","QC SD 7s Gen 3","35995188","Device is NOT Blocked","TAC Not blocked","Unknown"
"NOTHING","NOTHING (3A) PRO","NOTHING Technology A059P","Nothing Phone (3a) Pro","2025","QC SD 7s Gen 3","35345870","Device is NOT Blocked","TAC Not blocked","Unknown"
"NOTHING","NOTHING (3A)","NOTHING Technology A059","Nothing Phone (3a)","2025","QC SD 7s Gen 3","35986626","Device is NOT Blocked","TAC Not blocked","Unknown"
"NOTHING","NOTHING (3A)","NOTHING Technology A059","Nothing Phone (3a)","2025","QC SD 7s Gen 3","35734846","Device is NOT Blocked","TAC Not blocked","Unknown"
"NOTHING","NOTHING (3A)","NOTHING Technology A059","Nothing Phone (3a)","2025","QC SD 7s Gen 3","35373556","Device is NOT Blocked","TAC Not blocked","Unknown"
"NOTHING","NOTHING (3A)","NOTHING Technology A059","Nothing Phone (3a)","2025","QC SD 7s Gen 3","35170735","Device is NOT Blocked","TAC Not blocked","Unknown"
"NOTHING","CMF PHONE 1","NOTHING Technology A001","Nothing CMF Phone 2 Pro","2025","MT D 7300 Pro","35438237","Device is NOT Blocked","TAC Not blocked","Unknown"
"NOTHING","CMF PHONE 1","NOTHING Technology A001","Nothing CMF Phone 2 Pro","2025","MT D 7300 Pro","35364020","Device is NOT Blocked","TAC Not blocked","Unknown"
"NOTHING","CMF PHONE 1","NOTHING Technology A001","Nothing CMF Phone 2 Pro","2025","MT D 7300 Pro","35356016","Device is NOT Blocked","TAC Not blocked","Unknown"
"NOTHING","NOTHING PHONE (2A) PLUS","NOTHING Technology A142P","","2024","","35713823","Device is NOT Blocked","Not Blocked","Unknown"
"NOTHING","NOTHING PHONE (2A) PLUS","NOTHING Technology A142P","","2024","","35581031","Device is NOT Blocked","Not Blocked","Unknown"
"NOTHING","NOTHING PHONE (2A)","NOTHING Technology A142","","2024","","35448470","Device is NOT Blocked","TAC Not blocked","Unknown"
"NOTHING","NOTHING PHONE (2A)","NOTHING Technology A142","","2024","","35070641","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"NOTHING","CMF PHONE 1","NOTHING Technology A015","","2024","","35726962","Device is NOT Blocked","TAC Not blocked","Unknown"
"NOTHING","CMF PHONE 1","NOTHING Technology A015","","2024","","35685525","Device is NOT Blocked","Not Blocked","Unknown"
"NOTHING","CMF PHONE 1","NOTHING Technology A015","","2024","","35174083","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"NOTHING","CMF PHONE 1","N/A","","2024","","35146353","Device is NOT Blocked","Not Found","Unknown"
"NOTHING","CMF PHONE 1","NOTHING Technology A015","","2024","","35001306","Device is NOT Blocked","TAC Not blocked","Unknown"
"NOTHING","NOTHING PHONE 2","NOTHING Technology AIN065","","2023","","35323888","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"NOTHING","NOTHING PHONE 2","NOTHING Technology A065","","2023","","35268796","Device is NOT Blocked","TAC Not blocked","Unknown"
"NOTHING","NOTHING PHONE 2","NOTHING Technology A065","","2023","","35213498","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"NOTHING","NOTHING PHONE (1)","NOTHING Technology A063","","2022","","35331958","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"NOTHING","NOTHING PHONE (1)","NOTHING Technology A063","","2022","","35077886","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"

