"Brand","Optus Model Name","Telstra Model Name","Model Info","Year","Chipset","TAC","Optus Status","Telstra Status","Vodafone Status"
"ONEPLUS","ONEPLUS NORD CE 3 LITE 5G","OnePlus CPH2723","OnePlus 13s?","2025","","86067707","Device is NOT Blocked","TAC Not blocked","Unknown"
"ONEPLUS","ONEPLUS 13R","OnePlus CPH2691","1+ CPH2691","2025","QC SD 8 Gen 3","86779507","Device is NOT Blocked","TAC Not blocked","Unknown"
"ONEPLUS","ONEPLUS 13R","OnePlus CPH2691","1+ CPH2691","2025","QC SD 8 Gen 3","86747807","Device is NOT Blocked","TAC Not blocked","Unknown"
"ONEPLUS","ONEPLUS 13R","OnePlus CPH2647","1+ CPH2647","2025","QC SD 8 Gen 3","86618907","Device is NOT Blocked","TAC Not blocked","Unknown"
"ONEPLUS","ONEPLUS 13R","OnePlus CPH2645","1+ CPH2645","2025","QC SD 8 Gen 3","86277907","Device is NOT Blocked","TAC Not blocked","Unknown"
"ONEPLUS","1+ PLF110","Oppo PLF110","OnePlus Ace 5 Racing","2025","","86963307","Device is NOT Blocked","TAC Not blocked","Unknown"
"ONEPLUS","1+ PLC110","Oppo PLC110","OnePlus Ace 5 Ultra","2025","","86560607","Device is NOT Blocked","TAC Not blocked","Unknown"
"ONEPLUS","1+ PLC110","Oppo PLC110","OnePlus Ace 5 Ultra","2025","","86518407","Device is NOT Blocked","TAC Not blocked","Unknown"
"ONEPLUS","1+ PKX110","Oppo PKX110","OnePlus 13T","2025","","86838607","Device is NOT Blocked","TAC Not blocked","Unknown"
"ONEPLUS","1+ PKX110","Oppo PKX110","OnePlus 13T","2025","","86046607","Device is NOT Blocked","TAC Not blocked","Unknown"
"ONEPLUS","1+ OPWW234","Oppo OPWW234","OnePlus Watch 3","2025","QC SD W5 Gen 1","86694707","Reduced Coverage","Not Phone","Unknown"
"ONEPLUS","1+ CPH2719","OnePlus CPH2719","OnePlus Nord CE 5?","2025","","86651007","Device is NOT Blocked","TAC Not blocked","Unknown"
"ONEPLUS","1+ CPH2717","OnePlus CPH2717","OnePlus Nord CE 5?","2025","","86527507","Device is NOT Blocked","TAC Not blocked","Unknown"
"ONEPLUS","ONEPLUS NORD N30 SE","OnePlus CPH2605","","2024","MT D 6020","86724707","Reduced Coverage","Not Blocked","Unknown"
"ONEPLUS","ONEPLUS NORD N30 SE","OnePlus CPH2605","","2024","MT D 6020","86353306","Device is NOT Blocked","TAC Not blocked","Unknown"
"ONEPLUS","ONEPLUS NORD N30 SE","OnePlus CPH2605","","2024","MT D 6020","86015406","Reduced Coverage","Not Blocked","Unknown"
"ONEPLUS","ONEPLUS NORD CE4 LITE 5G","OnePlus CPH2619","","2024","QC SD 695","86852807","Device is NOT Blocked","TAC Not blocked","Unknown"
"ONEPLUS","ONEPLUS NORD CE4 LITE 5G","OnePlus CPH2619","","2024","QC SD 695","86843407","Device is NOT Blocked","TAC Not blocked","Unknown"
"ONEPLUS","ONEPLUS NORD CE4 LITE 5G","OnePlus CPH2621","","2024","QC SD 695","86779007","Device is NOT Blocked","Not Blocked","Unknown"
"ONEPLUS","ONEPLUS NORD CE4 LITE 5G","OnePlus CPH2619","","2024","QC SD 695","86590907","Device is NOT Blocked","TAC Not blocked","Unknown"
"ONEPLUS","ONEPLUS NORD CE4 LITE 5G","OnePlus CPH2619","","2024","QC SD 695","86560107","Device is Blocked","Not Blocked","Unknown"
"ONEPLUS","ONEPLUS NORD CE4 LITE 5G","OnePlus CPH2619","","2024","QC SD 695","86175907","Device is NOT Blocked","Not Blocked","Unknown"
"ONEPLUS","ONEPLUS NORD CE4","OnePlus CPH2613","","2024","QC SD 7 Gen 3","86729607","Device is Blocked","Not Blocked","Unknown"
"ONEPLUS","ONEPLUS NORD CE4","OnePlus CPH2613","","2024","QC SD 7 Gen 3","86711307","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
