"Brand","Optus Model Name","Telstra Model Name","Model Info","Year","Chipset","TAC","Optus Status","Telstra Status","Vodafone Status"
"OPPO","OPPO RENO13 F","Oppo CPH2701","Oppo Reno13 F","2025","","86944007","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2701","Oppo Reno13 F","2025","","86831807","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2701","Oppo Reno13 F","2025","","86728907","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2701","Oppo Reno13 F","2025","","86485807","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2701","Oppo Reno13 F","2025","","86457707","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2701","Oppo Reno13 F","2025","","86399607","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2701","Oppo Reno13 F","2025","","86295607","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2701","Oppo Reno13 F","2025","","86137807","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2699","Oppo Reno13 F","2025","","86955907","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2699","Oppo Reno13 F","2025","","86921207","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2699","Oppo Reno13 F","2025","","86852007","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2699","Oppo Reno13 F","2025","","86782107","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2699","Oppo Reno13 F","2025","","86771707","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2699","Oppo Reno13 F","2025","","86682607","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2699","Oppo Reno13 F","2025","","86676807","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2699","Oppo Reno13 F","2025","","86626907","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2699","Oppo Reno13 F","2025","","86529207","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2699","Oppo Reno13 F","2025","","86504607","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2699","Oppo Reno13 F","2025","","86500907","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2699","Oppo Reno13 F","2025","","86499407","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2699","Oppo Reno13 F","2025","","86434107","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2699","Oppo Reno13 F","2025","","86402107","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2699","Oppo Reno13 F","2025","","86299507","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2699","Oppo Reno13 F","2025","","86288907","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2699","Oppo Reno13 F","2025","","86287507","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2699","Oppo Reno13 F","2025","","86269007","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2699","Oppo Reno13 F","2025","","86265307","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2699","Oppo Reno13 F","2025","","86250407","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2699","Oppo Reno13 F","2025","","86124707","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2699","Oppo Reno13 F","2025","","86123307","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2699","Oppo Reno13 F","2025","","86117207","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2699","Oppo Reno13 F","2025","","86107407","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2699","Oppo Reno13 F","2025","","86038007","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO RENO13 F","Oppo CPH2699","Oppo Reno13 F","2025","","86009807","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO F29 PRO 5G","Oppo CPH2705","Oppo F29 Pro","2025","","86877607","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO F29 PRO 5G","Oppo CPH2705","Oppo F29 Pro","2025","","86665807","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO F29 PRO 5G","Oppo CPH2705","Oppo F29 Pro","2025","","86509407","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO F29 PRO 5G","Oppo CPH2705","Oppo F29 Pro","2025","","86186707","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO F29 PRO 5G","Oppo CPH2705","Oppo F29 Pro","2025","","86086007","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO F29 5G","Oppo CPH2721","OPPO F29 5G","2025","","86645007","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO F29 5G","Oppo CPH2721","OPPO F29 5G","2025","","86641007","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO F29 5G","Oppo CPH2721","OPPO F29 5G","2025","","86490707","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2753","Oppo CPH2753","Oppo K13x","2025","","86959607","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2753","Oppo CPH2753","Oppo K13x","2025","","86917807","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2753","Oppo CPH2753","Oppo K13x","2025","","86523307","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2753","Oppo CPH2753","Oppo K13x","2025","","86375607","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2753","Oppo CPH2753","Oppo K13x","2025","","86188707","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2739","Oppo CPH2739","Oppo Reno 14 Pro 5G","2025","","86928207","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2739","Oppo CPH2739","Oppo Reno 14 Pro 5G","2025","","86776207","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2739","Oppo CPH2739","Oppo Reno 14 Pro 5G","2025","","86762307","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2739","Oppo CPH2739","Oppo Reno 14 Pro 5G","2025","","86670507","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2739","Oppo CPH2739","Oppo Reno 14 Pro 5G","2025","","86392407","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2739","Oppo CPH2739","Oppo Reno 14 Pro 5G","2025","","86191307","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2737","Oppo CPH2737","Oppo Reno 14 5G","2025","","86940507","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2737","Oppo CPH2737","Oppo Reno 14 5G","2025","","86909607","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2737","Oppo CPH2737","Oppo Reno 14 5G","2025","","86908107","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2737","Oppo CPH2737","Oppo Reno 14 5G","2025","","86845107","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2737","Oppo CPH2737","Oppo Reno 14 5G","2025","","86835607","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2737","Oppo CPH2737","Oppo Reno 14 5G","2025","","86747107","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2737","Oppo CPH2737","Oppo Reno 14 5G","2025","","86713107","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2737","Oppo CPH2737","Oppo Reno 14 5G","2025","","86707107","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2737","Oppo CPH2737","Oppo Reno 14 5G","2025","","86698707","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2737","Oppo CPH2737","Oppo Reno 14 5G","2025","","86657107","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2737","Oppo CPH2737","Oppo Reno 14 5G","2025","","86589907","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2737","Oppo CPH2737","Oppo Reno 14 5G","2025","","86587907","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2737","Oppo CPH2737","Oppo Reno 14 5G","2025","","86531507","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2737","Oppo CPH2737","Oppo Reno 14 5G","2025","","86403307","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2737","Oppo CPH2737","Oppo Reno 14 5G","2025","","86330007","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2737","Oppo CPH2737","Oppo Reno 14 5G","2025","","86096807","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2737","Oppo CPH2737","Oppo Reno 14 5G","2025","","86079107","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2735","Oppo CPH2735","Oppo A5 5G","2025","","86984007","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2735","Oppo CPH2735","Oppo A5 5G","2025","","86891507","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2735","Oppo CPH2735","Oppo A5 5G","2025","","86877107","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2735","Oppo CPH2735","Oppo A5 5G","2025","","86855907","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2735","Oppo CPH2735","Oppo A5 5G","2025","","86733007","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2735","Oppo CPH2735","Oppo A5 5G","2025","","86603907","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2735","Oppo CPH2735","Oppo A5 5G","2025","","86564107","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2735","Oppo CPH2735","Oppo A5 5G","2025","","86508707","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2735","Oppo CPH2735","Oppo A5 5G","2025","","86280107","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2735","Oppo CPH2735","Oppo A5 5G","2025","","86252507","Device is NOT Blocked","TAC Not blocked","Unknown"
"OPPO","OPPO CPH2735","Oppo CPH2735","Oppo A5 5G","2025","","86229307","Device is NOT Blocked","TAC Not blocked","Unknown"
