"Brand","Optus Model Name","Telstra Model Name","Model Info","Year","Chipset","TAC","Optus Status","Telstra Status","Vodafone Status"
"SAMSUNG","SAMSUNG GALAXY Z FOLD7","Samsung SM-F966U","","2025","","35556718","Device is NOT Blocked","TAC Not blocked","Unknown"
"SAMSUNG","SAMSUNG GALAXY Z FOLD7","Samsung SM-F966U","","2025","","35375833","Device is NOT Blocked","TAC Not blocked","Unknown"
"SAMSUNG","SAMSUNG GALAXY Z FOLD7","N/A","","2025","","35011773","Device is NOT Blocked","Not Found","Unknown"
"SAMSUNG","SAMSUNG GALAXY Z FOLD7","N/A","","2025","","35014437","Device is NOT Blocked","Not Found","Unknown"
"SAMSUNG","SAMSUNG GALAXY Z FOLD7","N/A","","2025","","35025901","Device is NOT Blocked","Not Found","Unknown"
"SAMSUNG","SAMSUNG GALAXY Z FOLD7","N/A","","2025","","35031217","Device is NOT Blocked","Not Found","Unknown"
"SAMSUNG","SAMSUNG GALAXY Z FOLD7","Samsung SM-F966N","","2025","","35031320","Device is NOT Blocked","TAC Not blocked","Unknown"
"SAMSUNG","SAMSUNG GALAXY Z FOLD7","N/A","","2025","","35033294","Device is NOT Blocked","Not Found","Unknown"
"SAMSUNG","SAMSUNG GALAXY Z FOLD7","Samsung SM-F966N","","2025","","35035545","Device is NOT Blocked","TAC Not blocked","Unknown"
"SAMSUNG","SAMSUNG GALAXY Z FOLD7","Samsung SM-F966N","","2025","","35035807","Device is NOT Blocked","TAC Not blocked","Unknown"
"SAMSUNG","SAMSUNG GALAXY Z FOLD7","Samsung SM-F966N","","2025","","35037321","Device is NOT Blocked","TAC Not blocked","Unknown"
"SAMSUNG","SAMSUNG GALAXY Z FOLD7","N/A","","2025","","35040585","Device is NOT Blocked","Not Found","Unknown"
"SAMSUNG","SAMSUNG GALAXY Z FOLD7","N/A","","2025","","35044810","Device is NOT Blocked","Not Found","Unknown"
"SAMSUNG","SAMSUNG GALAXY Z FOLD7","N/A","","2025","","35062223","Device is NOT Blocked","Not Found","Unknown"
"SAMSUNG","SAMSUNG GALAXY Z FOLD7","N/A","","2025","","35066609","Device is NOT Blocked","Not Found","Unknown"
"SAMSUNG","SAMSUNG GALAXY Z FOLD7","Samsung SM-F966N","","2025","","35083410","Device is NOT Blocked","TAC Not blocked","Unknown"
"SAMSUNG","SAMSUNG GALAXY Z FOLD7","N/A","","2025","","35085567","Device is NOT Blocked","Not Found","Unknown"
"SAMSUNG","SAMSUNG GALAXY Z FOLD7","Samsung SM-F966N","","2025","","35090847","Device is NOT Blocked","TAC Not blocked","Unknown"
"SAMSUNG","SAMSUNG GALAXY Z FOLD7","N/A","","2025","","35091722","Device is NOT Blocked","Not Found","Unknown"
"SAMSUNG","SAMSUNG GALAXY Z FOLD7","N/A","","2025","","35093947","Device is NOT Blocked","Not Found","Unknown"
"SAMSUNG","SAMSUNG GALAXY Z FOLD7","N/A","","2025","","35101960","Device is NOT Blocked","Not Found","Unknown"
"SAMSUNG","SAMSUNG GALAXY Z FOLD7","Samsung SM-F966N","","2025","","35112196","Device is NOT Blocked","TAC Not blocked","Unknown"
"SAMSUNG","SAMSUNG GALAXY Z FOLD7","Samsung SM-F966N","","2025","","35121054","Device is NOT Blocked","TAC Not blocked","Unknown"
"SAMSUNG","SAMSUNG GALAXY Z FOLD7","N/A","","2025","","35121829","Device is NOT Blocked","Not Found","Unknown"
"SAMSUNG","SAMSUNG GALAXY Z FOLD7","N/A","","2025","","35124374","Device is NOT Blocked","Not Found","Unknown"
