"Brand","Optus Model Name","Telstra Model Name","Model Info","Year","Chipset","TAC","Optus Status","Telstra Status","Vodafone Status"
"SONY","SONY PM-1510-BV","Sony PM-1510-BV","Xperia 10 VII","2025","","35009934","Device is NOT Blocked","TAC Not blocked","Unknown"
"SONY","SONY PM-1505-BV","Sony XQ-FS44","Xperia 1 VII XQ-FS44 Japan (SimFree)","2025","","35764959","Device is NOT Blocked","TAC Not blocked","Unknown"
"SONY","SONY PM-1504-BV","Sony PM-1504-BV","Xperia 1 VII A501SO Japan (SoftBank)","2025","","35143964","Device is NOT Blocked","TAC Not blocked","Unknown"
"SONY","SONY PM-1503-BV","Sony PM-1503-BV","Xperia 1 VII SOG15 Japan (au)","2025","","35466488","Device is NOT Blocked","TAC Not blocked","Unknown"
"SONY","SONY PM-1502-BV","Sony PM-1502-BV","Xperia 1 VII SO-51F Japan (docomo)","2025","","35989328","Device is NOT Blocked","TAC Not blocked","Unknown"
"SONY","SONY PM-1501-BV","Sony XQ-FS72","Xperia 1 VII XQ-FS72 (CH/TW)","2025","","35869183","Device is NOT Blocked","TAC Not blocked","Unknown"
"SONY","SONY PM-1500-BV","Sony XQ-FS54","Xperia 1 VII XQ-FS54 (EU/UK)","2025","","35628440","Device is NOT Blocked","TAC Not blocked","Unknown"
"SONY","SONY XQ-ES44","Sony XQ-ES44","Sony Xperia 10 VI (JP)","2024","QC SD 6 Gen 1","35691870","Device is Blocked","TAC Not blocked","Unknown"
"SONY","SONY XPERIA 1VI","Sony XQ-EC44","Xperia 1 VI (JP) 5G","2024","QC SD 8 Gen 3","35000433","Device is Blocked","Not Blocked","Not Blocked"
"SONY","SONY XPERIA 10 VI 5G","Sony PM-1482-BV","Xperia 10 VI A402SO (XQ-ES24)","2024","QC SD 6 Gen 1","35377866","Device is Blocked","TAC Not blocked","Unknown"
"SONY","SONY XPERIA 10 VI","Sony XQ-ES54","Xperia 10 VI (UK, EU) 5G","2024","QC SD 6 Gen 1","35819272","Device is Blocked","Not Blocked","Not Blocked"
"SONY","SONY XPERIA 10 VI","Sony XQ-ES72","Xperia 10 VI (HK, TW, SEA) 5G","2024","QC SD 6 Gen 1","35144017","Device is Blocked","Not Blocked","Not Blocked"
"SONY","SONY XPERIA 10 VI","Sony PM-1481-BV","Xperia 10 VI SOG14 (XQ-ES14) Japan (au/UQ mobile)","2024","QC SD 6 Gen 1","35908753","Device is Blocked","TAC Not blocked","Unknown"
"SONY","SONY XPERIA 1 VI","Sony XQ-EC54","Xperia 1 VI (UK, EU) 5G","2024","QC SD 8 Gen 3","35965166","Device is Blocked","Not Blocked","Not Blocked"
"SONY","SONY XPERIA 1 VI","Sony XQ-EC72","Xperia 1 VI (HK, TW, SEA) 5G","2024","QC SD 8 Gen 3","35572338","Device is NOT Blocked","Not Blocked","Not Blocked"
"SONY","SONY XPERIA 1 VI","Sony PM-1495-BV","Xperia 1 VI A401SO (XQ-EC24) Japan (SoftBank)","2024","QC SD 8 Gen 3","35113957","Device is Blocked","TAC Not blocked","Unknown"
"SONY","SONY PM-1491-BV","Sony XQ-EC64","Xperia 1 VI XQ-EC62 PM-1491-BV US/Canada","2024","QC SD 8 Gen 3","35381498","Device is NOT Blocked","TAC Not blocked","Unknown"
"SONY","SONY PM-1480-BV","Sony PM-1480-BV","Xperia 10 VI SO-52E (XQ-ES04) Japan (docomo)","2024","QC SD 6 Gen 1","35029497","Device is Blocked","TAC Not blocked","Unknown"
"SONY","DOCOMO XPERIA 1 VI","Sony PM-1493-BV","Xperia 1 VI SO-51E (XQ-EC04) Japan (docomo)","2024","QC SD 8 Gen 3","35127148","Device is Blocked","TAC Not blocked","Unknown"
"SONY","AU XPERIA 1 VI","Sony PM-1494-BV","Xperia 1 VI SOG13 (XQ-EC14) Japan (au)","2024","QC SD 8 Gen 3","35548850","Device is Blocked","TAC Not blocked","Unknown"
"SONY","SONY XPERIA 5 V","Sony XQ-DE54","Xperia 5 V (UK, EU) 5G","2023","QC SD 8 Gen 2","35947377","Device is Blocked","Not Blocked","Unknown"
"SONY","SONY XPERIA 5 V","Sony XQ-DE44","Xperia 5 V (JP) 5G","2023","QC SD 8 Gen 2","35254293","Device is Blocked","Not Blocked","Not Blocked"
"SONY","SONY XPERIA 5 V","Sony PM-1462-BV","Xperia 5 V SOG12 (XQ-DE14) Japan (SoftBank)","2023","QC SD 8 Gen 2","35219068","Device is Blocked","Not Blocked","Unknown"
"SONY","SONY XPERIA 5 V","Sony XQ-DE72","Xperia 5 V (CN, HK, TW, SEA) 5G","2023","QC SD 8 Gen 2","35216428","Device is NOT Blocked","Not Blocked","Not Blocked"
"SONY","SONY XPERIA 1V","Sony PM-1433-BV","Xperia 1 V SO-51D (XQ-DQ04) Japan (docomo)","2023","QC SD 8 Gen 2","35524357","Device is Blocked","TAC Not blocked","Unknown"
"SONY","SONY XPERIA 1V","Sony XQ-DQ44","Xperia 1 V (JP) 5G","2023","QC SD 8 Gen 2","35069822","Device is Blocked","Not Blocked","Unknown"
"SONY","SONY XPERIA 10 V","Sony XQ-DC54","Xperia 10 V (UK, EU) 5G","2023","QC SD 695 5G","35909579","Device is Blocked","Not Blocked","Unknown"
"SONY","SONY XPERIA 10 V","Sony XQ-DC44","Xperia 10 V (JP) 5G","2023","QC SD 695 5G","35309189","Device is Blocked","Not Blocked","Unknown"
